"Protein.name","Genes","UniProtKB.AC","Search","Path"
"Small integral membrane protein 31","SMIM31","A0A1B0GVY4","small integral membrane protein 31 smim31 a0a1b0gvy4","data/Array_objects_single_proteins/Array_object_A0A1B0GVY4.rds"
"Transmembrane protein 269","TMEM269","A0A1B0GVZ9","transmembrane protein 269 tmem269 a0a1b0gvz9","data/Array_objects_single_proteins/Array_object_A0A1B0GVZ9.rds"
"Small integral membrane protein 39","SMIM39","A0A1B0GW54","small integral membrane protein 39 smim39 a0a1b0gw54","data/Array_objects_single_proteins/Array_object_A0A1B0GW54.rds"
"Small integral membrane protein 33","SMIM33","A0A1B0GW64","small integral membrane protein 33 smim33 a0a1b0gw64","data/Array_objects_single_proteins/Array_object_A0A1B0GW64.rds"
"Serine-rich and transmembrane domain-containing 2","SERTM2","A0A1B0GWG4","serine-rich and transmembrane domain-containing 2 sertm2 a0a1b0gwg4","data/Array_objects_single_proteins/Array_object_A0A1B0GWG4.rds"
"Transmembrane protein PMIS2","PMIS2","A0A1W2PS18","transmembrane protein pmis2 pmis2 a0a1w2ps18","data/Array_objects_single_proteins/Array_object_A0A1W2PS18.rds"
"Transmembrane protein 271","TMEM271","A0A286YF58","transmembrane protein 271 tmem271 a0a286yf58","data/Array_objects_single_proteins/Array_object_A0A286YF58.rds"
"Small integral membrane protein 38","SMIM38","A0A286YFK9","small integral membrane protein 38 smim38 a0a286yfk9","data/Array_objects_single_proteins/Array_object_A0A286YFK9.rds"
"Small integral membrane protein 41","SMIM41","A0A2R8YCJ5","small integral membrane protein 41 smim41 a0a2r8ycj5","data/Array_objects_single_proteins/Array_object_A0A2R8YCJ5.rds"
"Serpentine receptor class beta-12 (Protein srb-12)","srb-12 F58A6.10","A0A3B1DZW5","serpentine receptor class beta-12 (protein srb-12) srb-12 f58a6.10 a0a3b1dzw5","data/Array_objects_single_proteins/Array_object_A0A3B1DZW5.rds"
"Small integral membrane protein 42","SMIM42","A0A5F9ZH02","small integral membrane protein 42 smim42 a0a5f9zh02","data/Array_objects_single_proteins/Array_object_A0A5F9ZH02.rds"
"Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)","SLC12A8 CCC9","A0AV02","solute carrier family 12 member 8 (cation-chloride cotransporter 9) slc12a8 ccc9 a0av02","data/Array_objects_single_proteins/Array_object_A0AV02.rds"
"Fer-1-like protein 5","FER1L5","A0AVI2","fer-1-like protein 5 fer1l5 a0avi2","data/Array_objects_single_proteins/Array_object_A0AVI2.rds"
"E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)","TMEM129","A0AVI4","e3 ubiquitin-protein ligase tm129 (ec 2.3.2.27) (ring-type e3 ubiquitin transferase tm129) tmem129 a0avi4","data/Array_objects_single_proteins/Array_object_A0AVI4.rds"
"Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)","ESYT2 FAM62B KIAA1228","A0FGR8","extended synaptotagmin-2 (e-syt2) (chr2syt) esyt2 fam62b kiaa1228 a0fgr8","data/Array_objects_single_proteins/Array_object_A0FGR8.rds"
"Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)","ESYT3 FAM62C","A0FGR9","extended synaptotagmin-3 (e-syt3) (chr3syt) esyt3 fam62c a0fgr9","data/Array_objects_single_proteins/Array_object_A0FGR9.rds"
"Transmembrane protein 223","TMEM223","A0PJW6","transmembrane protein 223 tmem223 a0pjw6","data/Array_objects_single_proteins/Array_object_A0PJW6.rds"
"Protein shisa-3 homolog","SHISA3","A0PJX4","protein shisa-3 homolog shisa3 a0pjx4","data/Array_objects_single_proteins/Array_object_A0PJX4.rds"
"Transmembrane protein 120B","TMEM120B","A0PK00","transmembrane protein 120b tmem120b a0pk00","data/Array_objects_single_proteins/Array_object_A0PK00.rds"
"Transmembrane protein 72 (Kidney-specific secretory protein of 37 kDa)","TMEM72 C10orf127 KSP37","A0PK05","transmembrane protein 72 (kidney-specific secretory protein of 37 kda) tmem72 c10orf127 ksp37 a0pk05","data/Array_objects_single_proteins/Array_object_A0PK05.rds"
"Clarin-2","CLRN2","A0PK11","clarin-2 clrn2 a0pk11","data/Array_objects_single_proteins/Array_object_A0PK11.rds"
"Cell cycle control protein 50C (Transmembrane protein 30C)","TMEM30CP CDC50C TMEM30C","A0ZSE6","cell cycle control protein 50c (transmembrane protein 30c) tmem30cp cdc50c tmem30c a0zse6","data/Array_objects_single_proteins/Array_object_A0ZSE6.rds"
"Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)","ANO9 PIG5 TMEM16J TP53I5","A1A5B4","anoctamin-9 (transmembrane protein 16j) (tumor protein p53-inducible protein 5) (p53-induced gene 5 protein) ano9 pig5 tmem16j tp53i5 a1a5b4","data/Array_objects_single_proteins/Array_object_A1A5B4.rds"
"Solute carrier family 22 member 23","SLC22A23 C6orf85","A1A5C7","solute carrier family 22 member 23 slc22a23 c6orf85 a1a5c7","data/Array_objects_single_proteins/Array_object_A1A5C7.rds"
"Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)","FAM168B KIAA0280L MANI","A1KXE4","myelin-associated neurite-outgrowth inhibitor (mani) (p20) fam168b kiaa0280l mani a1kxe4","data/Array_objects_single_proteins/Array_object_A1KXE4.rds"
"Tetraspanin-11 (Tspan-11)","TSPAN11","A1L157","tetraspanin-11 (tspan-11) tspan11 a1l157","data/Array_objects_single_proteins/Array_object_A1L157.rds"
"Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)","ELOVL7","A1L3X0","elongation of very long chain fatty acids protein 7 (ec 2.3.1.199) (3-keto acyl-coa synthase elovl7) (elovl fatty acid elongase 7) (elovl fa elongase 7) (very long chain 3-ketoacyl-coa synthase 7) (very long chain 3-oxoacyl-coa synthase 7) elovl7 a1l3x0","data/Array_objects_single_proteins/Array_object_A1L3X0.rds"
"Latrophilin Cirl","Cirl CG8639","A1Z7G7","latrophilin cirl cirl cg8639 a1z7g7","data/Array_objects_single_proteins/Array_object_A1Z7G7.rds"
"Neuropeptide CCHamide-1 receptor","CCHa1-R CG30106","A1ZAX0","neuropeptide cchamide-1 receptor ccha1-r cg30106 a1zax0","data/Array_objects_single_proteins/Array_object_A1ZAX0.rds"
"Serine-rich and transmembrane domain-containing protein 1","SERTM1 C13orf36","A2A2V5","serine-rich and transmembrane domain-containing protein 1 sertm1 c13orf36 a2a2v5","data/Array_objects_single_proteins/Array_object_A2A2V5.rds"
"FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)","FRMD3 EPB41L4O","A2A2Y4","ferm domain-containing protein 3 (band 4.1-like protein 4o) (ovary type protein 4.1) (4.1o) frmd3 epb41l4o a2a2y4","data/Array_objects_single_proteins/Array_object_A2A2Y4.rds"
"Transmembrane protein 213","TMEM213","A2RRL7","transmembrane protein 213 tmem213 a2rrl7","data/Array_objects_single_proteins/Array_object_A2RRL7.rds"
"Single-pass membrane and coiled-coil domain-containing protein 3","SMCO3 C12orf69","A2RU48","single-pass membrane and coiled-coil domain-containing protein 3 smco3 c12orf69 a2ru48","data/Array_objects_single_proteins/Array_object_A2RU48.rds"
"Protein FAM234B","FAM234B KIAA1467","A2RU67","protein fam234b fam234b kiaa1467 a2ru67","data/Array_objects_single_proteins/Array_object_A2RU67.rds"
"Transmembrane protein 89","TMEM89","A2RUT3","transmembrane protein 89 tmem89 a2rut3","data/Array_objects_single_proteins/Array_object_A2RUT3.rds"
"Transmembrane protein 131-like","TMEM131L KIAA0922","A2VDJ0","transmembrane protein 131-like tmem131l kiaa0922 a2vdj0","data/Array_objects_single_proteins/Array_object_A2VDJ0.rds"
"Killer cell lectin-like receptor subfamily G member 2 (C-type lectin domain family 15 member B)","KLRG2 CLEC15B","A4D1S0","killer cell lectin-like receptor subfamily g member 2 (c-type lectin domain family 15 member b) klrg2 clec15b a4d1s0","data/Array_objects_single_proteins/Array_object_A4D1S0.rds"
"Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C)","CDC14C CDC14B2 CDC14Bretro","A4D256","dual specificity protein phosphatase cdc14c (ec 3.1.3.16) (ec 3.1.3.48) (cdc14 cell division cycle 14 homolog c) cdc14c cdc14b2 cdc14bretro a4d256","data/Array_objects_single_proteins/Array_object_A4D256.rds"
"Olfactory receptor 2A25 (Olfactory receptor 2A27)","OR2A25 OR2A25P OR2A27","A4D2G3","olfactory receptor 2a25 (olfactory receptor 2a27) or2a25 or2a25p or2a27 a4d2g3","data/Array_objects_single_proteins/Array_object_A4D2G3.rds"
"cTAGE family member 15 (Protein cTAGE-15)","CTAGE15 CTAGE15P","A4D2H0","ctage family member 15 (protein ctage-15) ctage15 ctage15p a4d2h0","data/Array_objects_single_proteins/Array_object_A4D2H0.rds"
"cTAGE family member 9 (Protein cTAGE-9)","CTAGE9","A4FU28","ctage family member 9 (protein ctage-9) ctage9 a4fu28","data/Array_objects_single_proteins/Array_object_A4FU28.rds"
"Solute carrier family 35 member F4","SLC35F4 C14orf36","A4IF30","solute carrier family 35 member f4 slc35f4 c14orf36 a4if30","data/Array_objects_single_proteins/Array_object_A4IF30.rds"
"Fat storage-inducing transmembrane protein 1 (Fat-inducing protein 1)","FITM1 FIT1","A5D6W6","fat storage-inducing transmembrane protein 1 (fat-inducing protein 1) fitm1 fit1 a5d6w6","data/Array_objects_single_proteins/Array_object_A5D6W6.rds"
"Regulator of G-protein signaling protein-like","RGSL1 RGSL RGSL2","A5PLK6","regulator of g-protein signaling protein-like rgsl1 rgsl rgsl2 a5plk6","data/Array_objects_single_proteins/Array_object_A5PLK6.rds"
"Plasmanylethanolamine desaturase (EC 1.14.19.77) (Plasmanylethanolamine desaturase 1) (Transmembrane protein 189)","PEDS1 KUA PDES TMEM189","A5PLL7","plasmanylethanolamine desaturase (ec 1.14.19.77) (plasmanylethanolamine desaturase 1) (transmembrane protein 189) peds1 kua pdes tmem189 a5pll7","data/Array_objects_single_proteins/Array_object_A5PLL7.rds"
"Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)","MEGF11 KIAA1781 UNQ1949/PRO4432","A6BM72","multiple epidermal growth factor-like domains protein 11 (multiple egf-like domains protein 11) megf11 kiaa1781 unq1949/pro4432 a6bm72","data/Array_objects_single_proteins/Array_object_A6BM72.rds"
"Cadherin-related family member 4 (Cadherin-like protein 29)","CDHR4 CDH29 UNQ9392/PRO34300","A6H8M9","cadherin-related family member 4 (cadherin-like protein 29) cdhr4 cdh29 unq9392/pro34300 a6h8m9","data/Array_objects_single_proteins/Array_object_A6H8M9.rds"
"Modulator of macroautophagy TMEM150B (Protein DRAM-3) (Transmembrane protein 150B) (Transmembrane protein 224)","TMEM150B TMEM224","A6NC51","modulator of macroautophagy tmem150b (protein dram-3) (transmembrane protein 150b) (transmembrane protein 224) tmem150b tmem224 a6nc51","data/Array_objects_single_proteins/Array_object_A6NC51.rds"
"Putative transmembrane protein encoded by LINC00862 (Small integral membrane protein 16)","LINC00862 C1orf98 SMIM16","A6NCI5","putative transmembrane protein encoded by linc00862 (small integral membrane protein 16) linc00862 c1orf98 smim16 a6nci5","data/Array_objects_single_proteins/Array_object_A6NCI5.rds"
"Olfactory receptor 6C74","OR6C74","A6NCV1","olfactory receptor 6c74 or6c74 a6ncv1","data/Array_objects_single_proteins/Array_object_A6NCV1.rds"
"Olfactory receptor 14I1 (Olfactory receptor 5BU1)","OR14I1 OR5BU1 OR5BU1P","A6ND48","olfactory receptor 14i1 (olfactory receptor 5bu1) or14i1 or5bu1 or5bu1p a6nd48","data/Array_objects_single_proteins/Array_object_A6ND48.rds"
"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 (Leucine-rich repeat-containing protein 22)","LRIT2 LRRC22","A6NDA9","leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 (leucine-rich repeat-containing protein 22) lrit2 lrrc22 a6nda9","data/Array_objects_single_proteins/Array_object_A6NDA9.rds"
"Olfactory receptor 5H15","OR5H15","A6NDH6","olfactory receptor 5h15 or5h15 a6ndh6","data/Array_objects_single_proteins/Array_object_A6NDH6.rds"
"Olfactory receptor 6C68","OR6C68","A6NDL8","olfactory receptor 6c68 or6c68 a6ndl8","data/Array_objects_single_proteins/Array_object_A6NDL8.rds"
"Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6)","TMEM8B C9orf127 NGX6","A6NDV4","transmembrane protein 8b (nasopharyngeal carcinoma-associated gene 6 protein) (protein nag-5) (protein ngx6) tmem8b c9orf127 ngx6 a6ndv4","data/Array_objects_single_proteins/Array_object_A6NDV4.rds"
"Olfactory receptor 5K3","OR5K3","A6NET4","olfactory receptor 5k3 or5k3 a6net4","data/Array_objects_single_proteins/Array_object_A6NET4.rds"
"Anthrax toxin receptor-like","ANTXRL","A6NF34","anthrax toxin receptor-like antxrl a6nf34","data/Array_objects_single_proteins/Array_object_A6NF34.rds"
"Olfactory receptor 6C6","OR6C6","A6NF89","olfactory receptor 6c6 or6c6 a6nf89","data/Array_objects_single_proteins/Array_object_A6NF89.rds"
"Single-pass membrane and coiled-coil domain-containing protein 2","SMCO2 C12orf70","A6NFE2","single-pass membrane and coiled-coil domain-containing protein 2 smco2 c12orf70 a6nfe2","data/Array_objects_single_proteins/Array_object_A6NFE2.rds"
"Uncharacterized protein C5orf60","C5orf60","A6NFR6","uncharacterized protein c5orf60 c5orf60 a6nfr6","data/Array_objects_single_proteins/Array_object_A6NFR6.rds"
"Ig-like V-type domain-containing protein FAM187A","FAM187A","A6NFU0","ig-like v-type domain-containing protein fam187a fam187a a6nfu0","data/Array_objects_single_proteins/Array_object_A6NFU0.rds"
"Major facilitator superfamily domain-containing protein 2B (hMfsd2b)","MFSD2B","A6NFX1","major facilitator superfamily domain-containing protein 2b (hmfsd2b) mfsd2b a6nfx1","data/Array_objects_single_proteins/Array_object_A6NFX1.rds"
"Nuclear envelope integral membrane protein 2","NEMP2 TMEM194B","A6NFY4","nuclear envelope integral membrane protein 2 nemp2 tmem194b a6nfy4","data/Array_objects_single_proteins/Array_object_A6NFY4.rds"
"Transmembrane protein 202","TMEM202","A6NGA9","transmembrane protein 202 tmem202 a6nga9","data/Array_objects_single_proteins/Array_object_A6NGA9.rds"
"Transmembrane protein 191C","TMEM191C","A6NGB0","transmembrane protein 191c tmem191c a6ngb0","data/Array_objects_single_proteins/Array_object_A6NGB0.rds"
"Transmembrane protein 221","TMEM221","A6NGB7","transmembrane protein 221 tmem221 a6ngb7","data/Array_objects_single_proteins/Array_object_A6NGB7.rds"
"Olfactory receptor 51F1","OR51F1 OR51F1P","A6NGY5","olfactory receptor 51f1 or51f1 or51f1p a6ngy5","data/Array_objects_single_proteins/Array_object_A6NGY5.rds"
"Olfactory receptor 2T8","OR2T8 OR2T8P","A6NH00","olfactory receptor 2t8 or2t8 or2t8p a6nh00","data/Array_objects_single_proteins/Array_object_A6NH00.rds"
"Serine incorporator 4","SERINC4","A6NH21","serine incorporator 4 serinc4 a6nh21","data/Array_objects_single_proteins/Array_object_A6NH21.rds"
"Golgi apparatus membrane protein TVP23 homolog A","TVP23A FAM18A","A6NH52","golgi apparatus membrane protein tvp23 homolog a tvp23a fam18a a6nh52","data/Array_objects_single_proteins/Array_object_A6NH52.rds"
"Olfactory receptor 4C46","OR4C46","A6NHA9","olfactory receptor 4c46 or4c46 a6nha9","data/Array_objects_single_proteins/Array_object_A6NHA9.rds"
"Olfactory receptor 5H14","OR5H14","A6NHG9","olfactory receptor 5h14 or5h14 a6nhg9","data/Array_objects_single_proteins/Array_object_A6NHG9.rds"
"MANSC domain-containing protein 4","MANSC4","A6NHS7","mansc domain-containing protein 4 mansc4 a6nhs7","data/Array_objects_single_proteins/Array_object_A6NHS7.rds"
"Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)","MYMK TMEM226 TMEM8C","A6NI61","protein myomaker (myoblast fusion maker) (transmembrane protein 226) (transmembrane protein 8c) mymk tmem226 tmem8c a6ni61","data/Array_objects_single_proteins/Array_object_A6NI61.rds"
"Olfactory receptor 6C70","OR6C70","A6NIJ9","olfactory receptor 6c70 or6c70 a6nij9","data/Array_objects_single_proteins/Array_object_A6NIJ9.rds"
"Putative uncharacterized protein CRYM-AS1 (CRYM antisense RNA 1) (CRYM antisense gene protein 1)","CRYM-AS1 NCRNA00169","A6NIL9","putative uncharacterized protein crym-as1 (crym antisense rna 1) (crym antisense gene protein 1) crym-as1 ncrna00169 a6nil9","data/Array_objects_single_proteins/Array_object_A6NIL9.rds"
"Solute carrier family 15 member 5","SLC15A5","A6NIM6","solute carrier family 15 member 5 slc15a5 a6nim6","data/Array_objects_single_proteins/Array_object_A6NIM6.rds"
"Leucine-rich repeat-containing protein 3C","LRRC3C","A6NJW4","leucine-rich repeat-containing protein 3c lrrc3c a6njw4","data/Array_objects_single_proteins/Array_object_A6NJW4.rds"
"T-cell surface glycoprotein CD8 beta-2 chain (CD8b pseudogene)","CD8B2 CD8BP","A6NJW9","t-cell surface glycoprotein cd8 beta-2 chain (cd8b pseudogene) cd8b2 cd8bp a6njw9","data/Array_objects_single_proteins/Array_object_A6NJW9.rds"
"Putative SLC9B1-like protein SLC9B1P1 (Solute carrier family 9 subfamily B member 1 pseudogene 1)","SLC9B1P1","A6NJY1","putative slc9b1-like protein slc9b1p1 (solute carrier family 9 subfamily b member 1 pseudogene 1) slc9b1p1 a6njy1","data/Array_objects_single_proteins/Array_object_A6NJY1.rds"
"Olfactory receptor 6C65","OR6C65","A6NJZ3","olfactory receptor 6c65 or6c65 a6njz3","data/Array_objects_single_proteins/Array_object_A6NJZ3.rds"
"Solute carrier family 22 member 20 (Organic anion transporter 6) (Solute carrier family 22 member 20 pseudogene)","SLC22A20P OAT6 SLC22A20","A6NK97","solute carrier family 22 member 20 (organic anion transporter 6) (solute carrier family 22 member 20 pseudogene) slc22a20p oat6 slc22a20 a6nk97","data/Array_objects_single_proteins/Array_object_A6NK97.rds"
"Pecanex-like protein 2 (Pecanex homolog protein 2)","PCNX2 KIAA0435 PCNXL2","A6NKB5","pecanex-like protein 2 (pecanex homolog protein 2) pcnx2 kiaa0435 pcnxl2 a6nkb5","data/Array_objects_single_proteins/Array_object_A6NKB5.rds"
"Olfactory receptor 5H1 (HTPCRX14)","OR5H1","A6NKK0","olfactory receptor 5h1 (htpcrx14) or5h1 a6nkk0","data/Array_objects_single_proteins/Array_object_A6NKK0.rds"
"Protein shisa-like-2B","SHISAL2B FAM159B","A6NKW6","protein shisa-like-2b shisal2b fam159b a6nkw6","data/Array_objects_single_proteins/Array_object_A6NKW6.rds"
"Putative solute carrier family 22 member 31","SLC22A31","A6NKX4","putative solute carrier family 22 member 31 slc22a31 a6nkx4","data/Array_objects_single_proteins/Array_object_A6NKX4.rds"
"Protein FAM74A7","FAM74A7","A6NL05","protein fam74a7 fam74a7 a6nl05","data/Array_objects_single_proteins/Array_object_A6NL05.rds"
"Olfactory receptor 6C75","OR6C75","A6NL08","olfactory receptor 6c75 or6c75 a6nl08","data/Array_objects_single_proteins/Array_object_A6NL08.rds"
"Olfactory receptor 5B21","OR5B21","A6NL26","olfactory receptor 5b21 or5b21 a6nl26","data/Array_objects_single_proteins/Array_object_A6NL26.rds"
"Protein shisa-7 (Cystine-knot AMPAR modulating protein of 59 kDa) (CKAMP59) (GABA(A) receptor auxiliary subunit Shisa7) (Protein shisa-6-like)","SHISA7","A6NL88","protein shisa-7 (cystine-knot ampar modulating protein of 59 kda) (ckamp59) (gaba(a) receptor auxiliary subunit shisa7) (protein shisa-6-like) shisa7 a6nl88","data/Array_objects_single_proteins/Array_object_A6NL88.rds"
"Putative aquaporin-7-like protein 3","AQP7P3","A6NL99","putative aquaporin-7-like protein 3 aqp7p3 a6nl99","data/Array_objects_single_proteins/Array_object_A6NL99.rds"
"Small integral membrane protein 23","SMIM23 C5orf50","A6NLE4","small integral membrane protein 23 smim23 c5orf50 a6nle4","data/Array_objects_single_proteins/Array_object_A6NLE4.rds"
"Transmembrane protein 210","TMEM210","A6NLX4","transmembrane protein 210 tmem210 a6nlx4","data/Array_objects_single_proteins/Array_object_A6NLX4.rds"
"Olfactory receptor 2AG2","OR2AG2 OR2AG2P","A6NM03","olfactory receptor 2ag2 or2ag2 or2ag2p a6nm03","data/Array_objects_single_proteins/Array_object_A6NM03.rds"
"Leucine-rich repeat-containing protein 37A2","LRRC37A2","A6NM11","leucine-rich repeat-containing protein 37a2 lrrc37a2 a6nm11","data/Array_objects_single_proteins/Array_object_A6NM11.rds"
"Putative claudin-24 (Claudin-21)","CLDN24 CLDN21","A6NM45","putative claudin-24 (claudin-21) cldn24 cldn21 a6nm45","data/Array_objects_single_proteins/Array_object_A6NM45.rds"
"Olfactory receptor 6C76","OR6C76","A6NM76","olfactory receptor 6c76 or6c76 a6nm76","data/Array_objects_single_proteins/Array_object_A6NM76.rds"
"Sialic acid-binding Ig-like lectin 16 (Siglec-16) (Siglec-P16)","SIGLEC16 SIGLECP16","A6NMB1","sialic acid-binding ig-like lectin 16 (siglec-16) (siglec-p16) siglec16 siglecp16 a6nmb1","data/Array_objects_single_proteins/Array_object_A6NMB1.rds"
"Transmembrane protein 212","TMEM212","A6NML5","transmembrane protein 212 tmem212 a6nml5","data/Array_objects_single_proteins/Array_object_A6NML5.rds"
"Olfactory receptor 5K4","OR5K4","A6NMS3","olfactory receptor 5k4 or5k4 a6nms3","data/Array_objects_single_proteins/Array_object_A6NMS3.rds"
"Leucine-rich repeat-containing protein 37A","LRRC37A LRRC37A1","A6NMS7","leucine-rich repeat-containing protein 37a lrrc37a lrrc37a1 a6nms7","data/Array_objects_single_proteins/Array_object_A6NMS7.rds"
"Olfactory receptor 4C45","OR4C45","A6NMZ5","olfactory receptor 4c45 or4c45 a6nmz5","data/Array_objects_single_proteins/Array_object_A6NMZ5.rds"
"Putative gap junction epsilon-1 protein (Connexin-23) (Cx23)","GJE1","A6NN92","putative gap junction epsilon-1 protein (connexin-23) (cx23) gje1 a6nn92","data/Array_objects_single_proteins/Array_object_A6NN92.rds"
"Olfactory receptor 2AT4 (Olfactory receptor OR11-265)","OR2AT4","A6NND4","olfactory receptor 2at4 (olfactory receptor or11-265) or2at4 a6nnd4","data/Array_objects_single_proteins/Array_object_A6NND4.rds"
"Putative sodium-coupled neutral amino acid transporter 8 (Solute carrier family 38 member 8)","SLC38A8","A6NNN8","putative sodium-coupled neutral amino acid transporter 8 (solute carrier family 38 member 8) slc38a8 a6nnn8","data/Array_objects_single_proteins/Array_object_A6NNN8.rds"
"Kinocilin","KNCN","A6PVL3","kinocilin kncn a6pvl3","data/Array_objects_single_proteins/Array_object_A6PVL3.rds"
"Protein dispatched homolog 2","DISP2 C15orf36 DISPB KIAA1742 LINC00594","A7MBM2","protein dispatched homolog 2 disp2 c15orf36 dispb kiaa1742 linc00594 a7mbm2","data/Array_objects_single_proteins/Array_object_A7MBM2.rds"
"Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)","POM121C","A8CG34","nuclear envelope pore membrane protein pom 121c (nuclear pore membrane protein 121-2) (pom121-2) (pore membrane protein of 121 kda c) pom121c a8cg34","data/Array_objects_single_proteins/Array_object_A8CG34.rds"
